huc4,permanent_area_period1,seasonal_area_period1,nowater_area_period1,permanent_area_period2,seasonal_area_period2,nowater_area_period2,perm_nowater_trans_area,perm_seasonal_trans_area,seasonal_nowater_trans_area,seasonal_perm_trans_area,nowater_seasonal_trans_area,nowater_perm_trans_area,dry_transition_area,wet_transition_area,perm_diff_92_19,total_area_period1,total_area_period2,season_diff_92_19,total_diff_92_19,perm_nowater_perc,perm_season_perc,seasonal_nowater_perc,seasonal_perm_perc,nowater_season_perc,nowater_perm_perc,dry_trans_area_perc,wet_trans_area_perc
1401,157.8015,47.0781,41.0319,160.2297,89.5428,27.4122,3.2346,18.4599,6.66,7.074,14.1606,14.4864,28.3545,35.721000000000004,1.5387686428836251,204.8796,249.7725,90.20053910416945,21.911844810317863,2.0497904012319275,11.698177773975534,14.146705155900516,15.026094935861897,34.51119738544888,35.30521374832752,0.5125774682626609,1.5015321756894793
1402,95.8779,31.4757,10.0611,82.3743,47.1501,14.7186,1.836,16.8372,7.0974,2.7063,3.7062,2.0673,25.770599999999998,8.4798,-14.084163295191063,127.3536,129.5244,49.79841592085323,1.7045454545454655,1.9149355586636756,17.561085505627467,22.548823378034484,8.598061361621824,36.83692637981931,20.54745504964666,0.7494618657553981,0.7561166644196631
1403,62.2296,26.0451,9.4833,52.0605,30.3561,23.1255,7.3521,7.5762,8.5554,3.8421,2.4183,0.6975,23.4837,6.9578999999999995,-16.341258822168232,88.2747,82.4166,16.552057776702718,-6.63621626581568,11.814474140923291,12.174592155501562,32.8484052662497,14.751719133349459,25.500616873873017,7.355034639840562,0.9852955225751735,0.7253352247779239
1404,463.9671,115.5744,81.0027,470.349,146.1897,120.1194,6.1866,16.8507,18.1503,19.134,30.4767,7.4304,41.1876,57.0411,1.3755070133205507,579.5415,616.5387,26.48968975828556,6.383874148788293,1.3334135114321684,3.6318738979552645,15.70442935459756,16.555569399451784,37.62430141217515,9.173027565747807,0.2632195738642818,1.0747097873217855
1405,47.9088,55.7631,33.4674,51.0858,70.3098,23.9616,1.278,7.974,8.2872,6.561,14.994,5.3289,17.5392,26.8839,6.631349564171926,103.6719,121.3956,26.086605658580662,17.095953676936578,2.6675683799218515,16.644123835287044,14.861440630094094,11.765845155667456,44.80180713171624,15.922659065239609,0.62659216238923,1.1158740565165497
1406,243.1566,82.944,110.0871,269.37,103.6215,79.7616,4.2444,19.152,13.6098,19.2681,24.3909,29.2347,37.0062,72.8937,10.780459999851951,326.1006,372.9915,24.929470486111104,14.379274371160308,1.7455417619756157,7.876405575666053,16.40842013888889,23.23025173611111,22.156001929381368,26.555972498140108,0.4202997479918774,1.3986174593973024
1407,573.0687,95.3982,130.4694,449.0721,92.727,273.087,73.2744,54.756,71.4834,3.0249,3.0942,0.4626,199.5138,6.5817,-21.6373010775148,668.4669,541.7991,-2.800052831185493,-18.949001064974205,12.786320383577046,9.55487535787594,74.93160248306572,3.170814543670635,2.3715905798601047,0.35456589821061485,1.1054249656938886,0.1079245835465851
1408,205.4412,76.5477,74.988,165.8241,85.9842,118.5471,24.4053,32.4738,37.1322,5.7726,9.1278,10.7865,94.01129999999999,25.6869,-19.283911893038017,281.9889,251.80829999999997,12.327607491799224,-10.702761704450078,11.87945747980444,15.806858604797865,48.50857700492634,7.541180205283764,12.172347575612099,14.384301488238119,1.2347649145054997,0.62781685547806
1501,789.2937,85.6548,115.4961,551.6226,117.801,377.2152,225.4446,31.0257,48.4956,7.0605,13.3911,10.611,304.96590000000003,31.0626,-30.111870904328757,874.9485,669.4236000000001,37.52994578237298,-23.489942550904413,28.562827753471236,3.930818147921363,56.61749253982264,8.242970621611398,11.59441747383678,9.187323208316126,1.290936933240452,0.5719420925616872
1502,67.6449,98.8011,80.9892,35.9082,92.0277,132.8841,19.3851,16.7859,49.0365,2.5101,17.6868,1.8459,85.20750000000001,22.042800000000003,-46.91661899123216,166.44600000000003,127.9359,-6.855591688756511,-23.136692981507526,28.65714931946089,24.814731044025493,49.63153244245256,2.5405587589611858,21.838467351202382,2.2791927812597237,1.8960103176605823,0.45408456407270026
1503,350.2035,46.0845,61.5483,354.1635,46.8909,65.5254,8.1801,7.3773,13.3344,12.4488,13.3929,6.0426,28.8918,31.8843,1.1307711087981642,396.288,401.0544,1.7498291182501786,1.2027616279069706,2.3358133199696747,2.1065751770042276,28.934674348208183,27.012987012987015,21.759983622618336,9.81765540234255,0.2700224752368648,1.0971562572004072
1504,71.5896,34.8912,26.4564,18.2313,39.1869,83.6649,38.0754,17.1171,24.4062,0.5409,5.4648,0.4617,79.59870000000001,6.4674,-74.5335914713869,106.4808,57.4182,12.311700371440375,-46.07647575901008,53.1856582520366,23.91003721210902,69.94944283945522,1.550247626908791,20.655871547149275,1.7451353925704178,2.7686681542587963,0.3904526555779416
1505,10.197,30.6684,35.8596,12.4614,51.2928,48.843,5.5242,1.0323,18.6714,2.2185,12.996,4.9545,25.227899999999998,20.169,22.206531332744927,40.865399999999994,63.7542,67.24967719215871,56.01021891379996,54.17475728155341,10.123565754633717,60.88155886841179,7.233830261767814,36.241341230800124,13.816383897199078,2.286449335297505,1.122835497835498
1506,144.0378,80.8065,49.0626,149.9967,72.54,62.1045,5.8986,10.3743,26.6814,16.7022,15.7923,4.8924,42.9543,37.386900000000004,4.137039027255345,224.8443,222.5367,-10.229993874255157,-1.0263102066630143,4.095175016558153,7.202484347858687,33.01887843180932,20.669376844684525,32.188061782294454,9.971750376050188,0.707556295623238,1.0662274551837199
1507,40.4334,83.1456,184.4568,47.178,24.3189,240.4935,1.3329,0.4914,73.2645,2.133,13.4811,6.0795,75.08879999999999,21.6936,16.680763922895427,123.57900000000001,71.4969,-70.75142881884308,-42.14478188041658,3.296532074967725,1.2153318790900594,88.11590751645306,2.5653792864565292,7.3085405363207,3.2958936726648194,2.250436293113447,0.3002464352586773
